customerID,tenure,MonthlyCharges,Contract,Churn
5760-IFJOZ,3,107.95,Month-to-month,No
2081-VEYEH,3,107.95,Month-to-month,No
6734-GMPVK,5,105.3,Month-to-month,No
2018-PZKMU,9,103.1,Month-to-month,No
9547-ITEFG,9,102.6,Month-to-month,No
8118-TJAFG,9,101.5,Month-to-month,No
4132-KALRO,4,100.85,Month-to-month,No
0722-SVSFK,7,100.4,Month-to-month,No
7379-FNIUJ,2,100.2,Month-to-month,No
2754-SDJRD,8,100.15,Month-to-month,No
4445-ZJNMU,9,99.3,Month-to-month,No
6645-MXQJT,2,97.1,Month-to-month,No
4566-NECEV,5,96.55,Month-to-month,No
4060-LDNLU,7,96.2,Month-to-month,No
7426-RHZGU,9,95.9,Month-to-month,No
1393-IMKZG,1,95.85,Month-to-month,No
4929-XIHVW,2,95.5,Month-to-month,No
2984-AFWNC,3,95.4,Month-to-month,No
9714-EDSUC,4,94.9,Month-to-month,No
7398-SKNQZ,3,94.9,Month-to-month,No
5150-ITWWB,3,94.85,Month-to-month,No
5168-MSWXT,8,94.75,Month-to-month,No
6350-XFYGW,4,94.75,Month-to-month,No
8161-QYMTT,7,94.1,Month-to-month,No
8087-LGYHQ,9,94.05,Month-to-month,No
6137-NICCO,6,94.05,Month-to-month,No
5141-ZUVBH,9,93.0,Month-to-month,No
3318-NMQXL,3,92.0,Month-to-month,No
4927-WWOOZ,2,91.45,Month-to-month,No
5091-HFAZW,2,91.15,Month-to-month,No
8622-ZLFKO,6,90.75,Month-to-month,No
4137-BTIKL,2,90.75,Month-to-month,No
0432-CAJZV,3,90.7,Month-to-month,No
5339-PXDVH,4,90.65,Month-to-month,No
8266-VBFQL,4,90.4,Month-to-month,No
0258-NOKBL,3,90.4,Month-to-month,No
0139-IVFJG,2,90.35,Month-to-month,No
8212-DJRCH,5,90.35,Month-to-month,No
4813-HQMGZ,8,90.25,Month-to-month,No
1941-HOSAM,1,90.1,Month-to-month,No
6969-MVBAI,9,90.1,Month-to-month,No
