Feature,Coefficient,Absolute_Coefficient
cat__Contract_Two year,-1.3648230112080746,1.3648230112080746
num__tenure,-1.357404055790543,1.357404055790543
cat__InternetService_Fiber optic,1.1074072424873667,1.1074072424873667
cat__Contract_One year,-0.7500681040144987,0.7500681040144987
num__TotalCharges,0.6455077648482163,0.6455077648482163
cat__PhoneService_Yes,-0.5153368988164989,0.5153368988164989
num__MonthlyCharges,-0.43449664155175993,0.43449664155175993
cat__PaymentMethod_Electronic check,0.3791500806356205,0.3791500806356205
cat__OnlineSecurity_Yes,-0.3731874197021642,0.3731874197021642
cat__StreamingTV_Yes,0.3724070880833952,0.3724070880833952
cat__MultipleLines_Yes,0.36278360085185485,0.36278360085185485
cat__StreamingMovies_Yes,0.34464923935674635,0.34464923935674635
cat__TechSupport_Yes,-0.3315783913596091,0.3315783913596091
cat__PaperlessBilling_Yes,0.2909313589559597,0.2909313589559597
cat__Dependents_Yes,-0.2321763476102207,0.2321763476102207
cat__MultipleLines_No phone service,-0.16862708226214804,0.16862708226214804
cat__DeviceProtection_No internet service,-0.1663591636836943,0.1663591636836943
cat__OnlineSecurity_No internet service,-0.1663591636836943,0.1663591636836943
cat__InternetService_No,-0.1663591636836943,0.1663591636836943
cat__StreamingMovies_No internet service,-0.1663591636836943,0.1663591636836943
cat__StreamingTV_No internet service,-0.1663591636836943,0.1663591636836943
cat__OnlineBackup_No internet service,-0.1663591636836943,0.1663591636836943
cat__TechSupport_No internet service,-0.1663591636836943,0.1663591636836943
cat__OnlineBackup_Yes,-0.12916054505326124,0.12916054505326124
cat__DeviceProtection_Yes,0.07426431184136296,0.07426431184136296
cat__PaymentMethod_Mailed check,0.072699533797448,0.072699533797448
num__SeniorCitizen,0.07215879176236481,0.07215879176236481
cat__PaymentMethod_Credit card (automatic),0.03582913687678665,0.03582913687678665
cat__Partner_Yes,-0.02512447392686833,0.02512447392686833
cat__gender_Male,-0.02408144058069009,0.02408144058069009
