Segment_Value,Customers,Actual_Churns,Churn_Rate,Average_Churn_Probability,Monthly_Revenue,Average_Monthly_Charge,Segment_Type,Annual_Revenue_Exposure,Priority_Score
Fiber optic,3096,1297,0.4189276485788114,0.4188581803615157,283284.4,91.50012919896642,InternetService,3399412.8000000003,1424108.0108527134
Month-to-month,3875,1655,0.4270967741935484,0.42707453963724,257294.15,66.39849032258064,Contract,3087529.8,1318674.0178064515
0,5890,1393,0.2365025466893039,0.23653374855380221,364506.15,61.88559422750425,SeniorCitizen,4374073.800000001,1034479.5931069611
Electronic check,2365,1071,0.4528541226215645,0.45282694111573596,180345.0,76.25581395348837,PaymentMethod,2164140.0,980039.7209302326
1,1142,476,0.4168126094570928,0.4168012707501394,91154.85,79.82035901926446,SeniorCitizen,1093858.2000000002,455933.8907180386
DSL,2416,459,0.18998344370860928,0.19003397511794107,140340.65,58.08801738410596,InternetService,1684087.7999999998,319948.7997516556
Bank transfer (automatic),1542,258,0.16731517509727625,0.16731180916193322,103631.0,67.20557717250324,PaymentMethod,1243572.0,208068.46692607002
Credit card (automatic),1521,232,0.1525312294543064,0.15249000042369296,101175.8,66.51926364234056,PaymentMethod,1214109.6,185189.62998027616
Mailed check,1604,308,0.19201995012468828,0.19220886163821732,70509.2,43.95835411471322,PaymentMethod,846110.3999999999,162470.07680798005
One year,1472,166,0.11277173913043478,0.11274758914923382,95796.9,65.07941576086957,Contract,1149562.7999999998,129638.19619565216
Two year,1685,48,0.028486646884272996,0.02866025985553531,102569.95,60.87237388724036,Contract,1230839.4,35062.48735905044
No,1520,113,0.07434210526315789,0.07451567098312901,32035.95,21.076282894736842,InternetService,384431.4,28579.439605263156
